article,content,candidate,definition,distance,type
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",strike while the iron is hot,"(metallurgy, blacksmithing, literally) To strike a hot piece of metal, especially iron, with a mallet or other tool before it cools, while it is still hot enough to be shaped. (idiomatic) To act on an opportunity promptly while favorable conditions exist; to avoid waiting.",0.8922,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",come out of the closet,"(intransitive, idiomatic) To tell others about one's homosexuality, bisexuality, transness, or any minority or disapproved-of belief, preference, etc., where previously this had been kept secret.",0.8966,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",genie is out of the bottle,(idiomatic) Information has been released that will have ongoing consequences. (idiomatic) Something has been brought into reality that cannot be eliminated or undone.,0.9015,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",give someone a hard time,"(idiomatic, informal) To cause difficulty or make trouble for someone. (idiomatic, informal) To tease, kid or rib someone.",0.9277,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",go back to the drawing board,(idiomatic) To start again; to scrap a previous idea or plan and try again from the beginning.,0.9338,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",have blood on one's hands,(idiomatic) To be responsible for a violent act.,0.8775,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",take the law into one's own hands,"(intransitive, idiomatic) To punish someone according to one's own idea of justice and without consideration for the role of law enforcement authorities.",0.9023,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",genie is out of the bottle,(idiomatic) Information has been released that will have ongoing consequences. (idiomatic) Something has been brought into reality that cannot be eliminated or undone.,0.9238,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",let the cat out of the bag,"(idiomatic) To disclose a secret; to let a secret be known, often inadvertently.",0.9283,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",strike while the iron is hot,"(metallurgy, blacksmithing, literally) To strike a hot piece of metal, especially iron, with a mallet or other tool before it cools, while it is still hot enough to be shaped. (idiomatic) To act on an opportunity promptly while favorable conditions exist; to avoid waiting.",0.9299,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",put on one's dancing shoes,(idiomatic) To prepare for celebration or rejoicing; to put oneself in a positive frame of mind.,0.8958,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",have the time of one's life,"(idiomatic) To enjoy oneself immensely, or more than ever before.",0.8991,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",take someone's word for it,"(idiomatic) To believe what someone claims, especially without checking or verifying for oneself.",0.9005,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",get a kick out of,(idiomatic) To be delighted by; to be amused by.,0.9272,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",find it in one's heart,"(idiomatic) To feel compassionate, especially in order to forgive someone or to be willing to help them in some way.",0.9377,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",get one's foot in the door,"(idiomatic) To initiate contact or a relationship; to gain access, especially to an entry-level job.",0.864,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",strike while the iron is hot,"(metallurgy, blacksmithing, literally) To strike a hot piece of metal, especially iron, with a mallet or other tool before it cools, while it is still hot enough to be shaped. (idiomatic) To act on an opportunity promptly while favorable conditions exist; to avoid waiting.",0.8865,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",have a mind of one's own,(idiomatic) To form one's personal opinions and choose one's actions without being governed by the views or choices of others; to be independently minded; to think for oneself.,0.9001,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",go out on a limb,(idiomatic) To take a risk. (idiomatic) To hazard a guess.,0.901,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",get on the end of,"(idiomatic, transitive) To connect with.",0.902,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",get on the end of,"(idiomatic, transitive) To connect with.",0.83,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",get one's foot in the door,"(idiomatic) To initiate contact or a relationship; to gain access, especially to an entry-level job.",0.8507,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",get a rise out of,"(chiefly US, transitive, idiomatic) To obtain a reaction from someone, especially one of annoyance.",0.8914,idiom
