idiom,definition
Main Street,"The generic street name (and often the official name) of the primary retail street of a village, town, or small city in the United States, Canada, Ireland, some parts of Scotland and also in some countries in central Europe. (idiomatic, Canada, US) Collectively, everyday working-class people and small business owners, especially with regard to their concerns, social views, etc."
Mickey Mouse,"The most famous Disney cartoon character, an anthropomorphic mouse with a falsetto voice and a cheerful disposition."
Midas touch,"(Greek mythology, literally) The ability to turn everything one touches into gold. (idiomatic) The ability to achieve financial reward (or, more generally, success) from one's actions easily and consistently."
Monday-morning quarterback,"(US, idiomatic) Someone who criticizes from hindsight."
Monopoly money,"Play money printed on paper, especially differently colored denominations used in the board game Monopoly. (slang, US) Bills of foreign currency which are brightly colored or printed on flimsy paper. Money, especially paper money, that is perceived to have little or no value, or to be distributed freely. (idiomatic) Money that doesn't really exist, referring to fraudulent record keeping."
Number 10,(idiomatic) Synonym of 10 Downing Street.
Number 11,"(idiomatic, colloquial) Synonym of 11 Downing Street"
Number Ten,"(idiomatic, colloquial) Synonym of 10 Downing Street"
Oreo cookie,"(slang, idiomatic, mildly pejorative) A black person that appears to the community to embody the social and cultural features of a white person (slang, sexual) A threeway involving two black participants and one white participant between them"
Prince of Darkness,"(uncountable) Satan; the Devil. (by extension, countable) A particularly evil person. Used other than with a figurative or idiomatic meaning: see prince,‎ darkness."
Promised Land,"(Judaism, Christianity) The area historically known as Judea, which was promised to the Israelites by God according to oral tradition recorded in the Book of Genesis. (Mormonism) America. (idiomatic, sometimes lower case) Heaven or the afterlife."
Red Baron,"(idiomatic, aviation, military) A hotshot fighter pilot; an ace fighter pilot."
Russian roulette,"(idiomatic, games) A deadly game in which a person loads a single bullet in the cylinder of a revolver, spins the cylinder so that the bullet's location is unknown, points the muzzle at his/her head, and pulls the trigger. In its most lethal form, played by multiple participants each of whom takes a turn until the weapon discharges."
Santa's workshop,"The mythical structure, usually envisioned as located at the North Pole, where Santa Claus and a large number of capable elves work tirelessly and gladly year-round to produce all of the toys and other gifts to be delivered throughout the world on Christmas Day. A fanciful replica of this structure, temporarily erected in a retail store, shopping mall, or other public venue at Christmastime as an attraction for children and parents. (idiomatic, by extension) A busy, productive large or small work environment, populated by dedicated workers."
Sunday best,"(idiomatic) A person's finest clothing, especially the clothes one reserves to wear to church on Sunday."
Sussex Drive,"A street in Ottawa, the location of the official residence of the prime minister of Canada. (Canada, idiomatic) The Canadian prime minister or the government."
Swiss bank account,"Used other than with a figurative or idiomatic meaning: see Swiss,‎ bank account. (figuratively) Any place considered safe or secure to put things in."
The End,"Used traditionally at the end of a story. Used to indicate the termination of something. The end of the world, particularly in a religious sense."
"Tom, Dick and Harry",Anybody or everybody; random or unknown people.
Trojan-horse,"(idiomatic) To introduce slyly, to sneak in."
Wall Street,"(idiomatic) American financial markets, financial institutions as a whole, or by extension, big-business interests."
White House,"(US) The official home and workplace of the President of the United States of America. (US, metonymically) The US presidency and its administration. Synonym of Russian White House"
X factor,"(idiomatic) An unknown or hard-to-define influence; a factor with unknown or unforeseeable consequences. (idiomatic) A special talent, ability or quality or its indefinable cause. Prothrombinase, also called factor X. (astrophysics) The proportionality constant which converts CO emission line brightness to molecular hydrogen mass."
X's and O's,"tic-tac-toe (idiomatic, sports) The fundamental elements of a play. (idiomatic, management) The basic delineation of roles in a project."
a bit much,"(informal, of undesirable behaviour) More than is reasonable; a bit too much."
a bridge too far,(idiomatic) A step or action that is too ambitious; an act of overreaching.
a good deal,(idiomatic) Very much; to a great extent; a lot; lots.
a great deal,"(idiomatic) Large number, amount, or extent. Used other than with a figurative or idiomatic meaning: see great,‎ deal."
a hair's breadth,A very small amount or distance.
a life of its own,(idiomatic) An independent existence with some characteristics of life.
a notch above,(idiomatic) superior to; of a higher quality than
abandon ship,"To leave or forsake a ship, due to its impending doom. (by extension) To leave a person or organization when things become difficult."
about time,"Used other than with a figurative or idiomatic meaning: see about,‎ time. Close to the right time. (idiomatic) Far past the desired time."
about to,"(idiomatic, only  with bare infinitive) Indicates something that will happen very soon; indicates that something is imminent."
about turn,"(Britain, military) Of a formation of soldiers, to reverse the direction in which they are facing; an about face. [First attested in the mid 20th century.] (Britain, figuratively, idiomatic) A complete change of opinion, direction, etc. [First attested in the mid 20th century.]"
abstract idea,"(metaphysics) An idea separated from a complex object, or from other ideas which naturally accompany it; as the solidity of marble when contemplated apart from its color or figure. Used other than with a figurative or idiomatic meaning: see abstract,‎ idea."
accident of birth,"(idiomatic) A fact, situation, or personal characteristic, which may be desirable or undesirable, resulting from the circumstances into which a person was born, and which is therefore entirely beyond their control."
accident waiting to happen,(idiomatic) A thing or situation which is almost certain to eventually lead to an accident
according to,(idiomatic) Based on what is said or stated by; on the authority of. In a manner conforming or corresponding to; in proportion to; in accordance with. [from 16th c.] Depending on.
ace in the hole,"(US, idiomatic, informal, slang) Alternative form of ace up one's sleeve"
ace up one's sleeve,"(Britain, idiomatic) A surprise, or unrevealed advantage, or a hidden or secret strength of which others are not aware."
acquired taste,"A taste which is not natural or innate, but which has developed through habit or learning. (idiomatic) Something that is appreciated only after having initially been regarded as unappealing or unpleasant; a person who is regarded as difficult or dislikable but of whom at least some have grown to approve."
act of Congress,"(idiomatic, US, chiefly  colloquial) Authorization that is extremely difficult to get, especially in a timely fashion."
act one's age,(idiomatic) To behave in a mature manner; to avoid being childish.
act out,"Used other than with a figurative or idiomatic meaning: see act,‎ out. (transitive) To perform something specific. (transitive, intransitive) To express internal feelings or thoughts."
act up,"(intransitive, idiomatic) To misbehave; to cause trouble. (intransitive, idiomatic) To perform the duties of an appointment senior to that actually held; to deputise for a superior. (Can we add an example for this sense?)"
add fuel to the fire,"Used other than with a figurative or idiomatic meaning: see add,‎ fuel,‎ fire. (idiomatic) To worsen a conflict between people; to inflame an already tense situation"
add insult to injury,(idiomatic) To further a loss with mockery or indignity; to worsen an unfavourable situation.
add oil,"(idiomatic, chiefly Hong Kong) To make extra effort."
add up,"(transitive) To take a sum. (intransitive) To accumulate; to amount to. (idiomatic, intransitive) To make sense; to be reasonable or consistent."
adrenaline junkie,"(informal) One who is seemingly addicted to the sensation of exhilaration associated with risky behaviors or exciting situations, and who actively seeks such opportunities."
again and again,Repeatedly.
age out,"(intransitive) To become too old for an activity, program or institution; to become too mature for a behavior."
agree to disagree,"(idiomatic, of two persons or other parties) To tolerate one another's opinion and stop arguing; to acknowledge that an agreement will not be reached."
agree with,"Used other than with a figurative or idiomatic meaning: see agree,‎ with. (transitive, of food or drink) To suit (one's constitution), so as not to upset one's stomach or make one sick when consumed."
agreement in principle,"(idiomatic, law) A legally enforceable, but incompletely specified, agreement between parties that identifies the fundamental terms that are intended to be or are agreed upon."
aha moment,"(idiomatic) The moment or instant at which the solution to a problem, or some other significant realization, becomes clear."
aim at,"Used other than with a figurative or idiomatic meaning: see aim,‎ at. To design for a particular audience (figuratively) To intend to do or achieve."
air out,"(idiomatic) To expose to air; to leave open or spread out, as to allow odor or moisture to dissipate. (by extension) To discuss in the open; to address an issue or conflict that has long been avoided. (American football, slang) To throw passes, especially long and high passes."
alarm bell,"Used other than with a figurative or idiomatic meaning: see alarm,‎ bell. (figuratively, usually in the plural) A sudden awareness of danger."
alive and kicking,"(idiomatic) Healthy; vital; in good health, particularly in opposition to unfavorable circumstances."
all along,"(duration, idiomatic) For the entire time; always."
all and sundry,(collectively) All; everyone. (separately) Each one.
all at once,(idiomatic) Unexpectedly; without warning; all of a sudden. Used other than with a figurative or idiomatic meaning: All at the same time; all together.
all bets are off,"(idiomatic) Indicates that a future event appears uncertain, especially one that before seemed more certain. Any prior agreements are no longer valid. (idiomatic, by extension) Anything can happen; any previous preconceptions about what might happen are dismissed."
all ears,(idiomatic) listening intently; fully focused (idiomatic) Awaiting an explanation.
all eyes,"(idiomatic) Watching alertly or attentively. (idiomatic) Having prominent eyes. (idiomatic, with for) Gazing at devotedly."
all hell breaks loose,(idiomatic) The situation becomes chaotic or characterized by conflict or rage.
all hell broke loose,simple past tense of all hell breaks loose
all holiday,"(idiomatic, obsolete, slang) A saying signifying that the business or person spoken of or alluded to is finished, i.e. that it has no future."
all in a day's work,(idiomatic) A nonchalant dismissal of a significant accomplishment.
all it's cracked up to be,(idiomatic) As good as claims or reputation would suggest.
all kinds of,"(informal) Extremely. Used other than with a figurative or idiomatic meaning: see all,‎ kinds,‎ of."
all one's eggs in one basket,(idiomatic) The state of having invested heavily in just one area. (idiomatic) The state of having devoted all of one’s resources to one thing.
all out,"(cricket) The state of a side having no more men to bat, thus ending its innings."
all over,Used other than with a figurative or idiomatic meaning: see all over. (idiomatic) Over an entire extent. (idiomatic) Everywhere. (idiomatic) In every way; thoroughly.
all over with,(idiomatic) Completely finished; over.
all rights reserved,"(idiomatic, law) The copyright holder of a creative work reserves all copyright-related rights, typically including the right to publish the work, to make derivative works of it, to distribute it, to make profit from it, to license a number of these rights to other people, and to forbid these uses by any unauthorized people, thus being entitled to take legal action against infringement."
all set,"(idiomatic) Ready, prepared, equipped. (US) Not requiring initial or further assistance with, additions to, or use of something."
all that,"That, and everything similar; all of that kind of thing; and so on, et cetera. [from 15th c.]"
all that jazz,"(informal, idiomatic) Everything else related to something; other similar things."
all the marbles,(idiomatic) everything; all that is to be had.
all the rage,"(idiomatic, somewhat dated or ironic) Very fashionable and popular, like a craze."
all the same,"(idiomatic) Anyway; nevertheless; nonetheless. Used other than with a figurative or idiomatic meaning: see all,‎ same."
all the while,"(idiomatic) At the same time as, usually over an extended period."
all there,"(idiomatic) Mentally competent; not absent-minded or insane. Used other than with a figurative or idiomatic meaning: see all,‎ there."
all things being equal,(idiomatic) Without considering or being affected by external factors.
all things considered,"(modal, idiomatic) Generally speaking; in terms of the big picture. (modal, idiomatic) Despite possible indications to the contrary. (modal, idiomatic) Within the constraints of the situation."
all things to all people,"(idiomatic) Someone or something that entirely satisfies the expectations of everyone, no matter how diverse and conflicting those expectations may be."
all told,"(idiomatic) With everything included, counted, or summed; in total."
all very well,"(idiomatic) All right to a certain extent. (idiomatic) True, as far as it goes."
all wet,(literally) Thoroughly soaked; drenched. (idiomatic) Utterly incorrect; erroneous; uninformed. (idiomatic) Deliberately and grotesquely untruthful.
almighty dollar,"(US, derogatory, idiomatic, singular only) The dollar, satirically characterized as a god."
along about,"(idiomatic, informal) Approximately; at around some time."
along the lines,"Similar to, but not exactly equal."
also known as,Used to introduce an alternative name; alias.
amateur hour,"(chiefly US) An event, particularly on radio or television, showcasing the talents of amateur performers. (chiefly US, idiomatic) A situation or activity in which the participants show a lack of skill, sound judgment, or professionalism."
ambulance chasing,(derogatory) The action of an ambulance chaser
an apple a day,"(idiomatic, abstractly) Healthy eating and living using traditional temperate-zone fresh foods."
an axe to grind,"(US) A proposition or point of view to advocate, especially motivated by self-interest."
an offer one can't refuse,(idiomatic) An offer from one side in a transaction with terms so attractive that the other side is almost guaranteed to accept. (idiomatic) A threatening offer by one party for which the results of failing to accept are so unattractive that the other party is almost compelled to accept.
ancient history,"A period of history generally seen as occurring before the Middle Ages, that is, before the fall of the Roman Empire. Includes Ancient Egypt, Ancient Greece and Ancient Rome. (idiomatic) That which happened a long time ago and not worth discussing any more."
and all,"(idiomatic) Including every object, attribute, or process associated with preceding item or series of items. (idiomatic, informal) Used to suggest certain unstated relevant implications or what has been stated. (Northern England, Scotland) Used to add emphasis. (Britain, informal) As well; in addition."
and all this,"(idiomatic, informal) Used at the end of a statement to insinuate that there is more information that can be inferred from the preceding."
and be done with it,(idiomatic) Used to terminate discussion or delay with a call to action
and change,"(idiomatic) and some quantity, but less than the increment to the next round number. Used other than with a figurative or idiomatic meaning: see and,‎ change. "
and counting,"(idiomatic) used to show that the number previously mentioned is continuously changing, i.e. increasing or decreasing"
and finally,"(idiomatic, journalism, colloquial) A light news story reserved for the end of a bulletin when there is a lack of more important items; typically involving animals or other features supposed to be amusing."
and his mother,"(idiomatic) Serves as an intensifier for an inclusive noun or phrase such as everyone, anyone, each someone or all someones."
and how,(idiomatic) Used to strongly confirm the preceding utterance.
and shit,"(idiomatic, vulgar) Used after one or more listed objects, attributes or processes to indicate additional others."
and so forth,(idiomatic) Indicates that a list continues in a similar manner.
and so on,(idiomatic) Indicates that a list continues in a similar manner.
and the like,"(idiomatic, informal) And other similar items; et cetera."
and then some,"(idiomatic, colloquial) Used to confirm preceding utterance, while implying that what was said or asked is an understatement"
and whatnot,(idiomatic) And so on; et cetera
angle for,"To try to obtain something by subtle indirect means: political manoeuvres, suggestion, etc. Used other than with a figurative or idiomatic meaning: see angle,‎ for."
angle of attack,"Used other than with a figurative or idiomatic meaning: see angle,‎ attack. (aeronautics) The angle between the chord line of an airfoil and the airflow over it; one of the determiners of the amount of lift produced by an airfoil. (nautical) The angle between a mid-sail and the direction of the wind."
answer back,"(idiomatic) To reply impertinently; to talk back. To reply to a question at a later time. (computing) To issue echo characters, protocol responses, reflexive connection requests, etc."
answer for,"Used other than with a figurative or idiomatic meaning: see answer,‎ for. (transitive or intransitive) To be held responsible for; to take the blame for something. (transitive) To guarantee. (transitive) To vouch for (someone); to attest to the character of (someone)."
answer on a postcard,"(idiomatic) A brief answer or opinion. Used other than with a figurative or idiomatic meaning: see answer,‎ on,‎ a,‎ postcard."
answer to,"Used other than with a figurative or idiomatic meaning: see answer,‎ to. To be accountable or responsible to; to account to; to report to. To justify oneself to (someone). (usually with have to) To respond to (a name); to treat as one's own name."
any old,"Used other than with a figurative or idiomatic meaning: see any,‎ old. (idiomatic, informal) Any, absolutely any, any typical, a run-of-the-mill."
anyone's guess,(idiomatic) A mystery; something unpredictable.
anything goes,(idiomatic) There are no rules or restrictions.
apple of someone's eye,"(idiomatic) A favourite, a particular preference, or a loved one; the object of somebody's affections."
apples and oranges,"(idiomatic) A comparison of items that, however categorically similar, is inapt; an incompatible equation Used other than with a figurative or idiomatic meaning: see apples,‎ and,‎ oranges."
area of influence,"Used other than with a figurative or idiomatic meaning: see area,‎ influence. (military) A geographical area wherein a commander is directly capable of influencing operations by maneuver or fire support systems normally under the commander’s command or control."
arm and a leg,"(idiomatic, hyperbolic) Usually used after the verb cost, but also often charge, pay, and spend: a very high price for an item or service; an exorbitant price;"
arm candy,"(idiomatic) An attractive, seemingly romantic companion who accompanies a person in public simply so that one or both of the individuals can gain attention, enhance social status, or create an impression of sexual appeal."
arm up,"(idiomatic, transitive, intransitive) to supply, or be supplied with, arms (weapons)"
arm's length,A distance approximately equal to the length of a human's arm. (figuratively) A position not suggesting or inviting intimacy. (figuratively) A condition of independence and parity for parties to a transaction.
around the corner,"(idiomatic) imminent; very soon (idiomatic) close, local, very near"
arrive at,To reach (a destination) (idiomatic) To reach (an objective or conclusion)
as I was saying,"(idiomatic, informal) Used to refer back to a previous statement in a discourse"
as a rule,(idiomatic) In general; most often.
as all get-out,"(idiomatic, informal, simile) Extremely; to a superlative degree; very much."
as best one can,"(idiomatic) In the best possible way, given the circumstances."
as far as,"Used other than with a figurative or idiomatic meaning: see as,‎ far,‎ as. To the degree or extent that."
as far as one knows,(idiomatic) To the best of one's knowledge.
as it happens,"(idiomatic) By coincidence, incidentally"
as long as,"Used other than with a figurative or idiomatic meaning: see as,‎ long. (idiomatic) Provided that, if, assuming (depending upon some condition or requirement). (idiomatic) Since, in view of the fact that."
as much,"precisely that Used other than with a figurative or idiomatic meaning: see as,‎ much."
as soon as,"Used other than with a figurative or idiomatic meaning: see as,‎ soon. At the moment when; immediately after. (idiomatic) Used to indicate that the first action mentioned is as likely as, or is preferred to, the second action mentioned."
as the crow flies,"(idiomatic) In a straight line distance between two locations, as opposed to the road distance or over land distance."
as the day is long,"(idiomatic, intensifier, simile) Unceasingly; very; thoroughly; to a very high degree."
as the next guy,(idiomatic) To a reasonable degree; as much as a typical person or man.
as well,(idiomatic) In addition; also. To the same effect (South Africa) me too
as well as,"And in addition. Used other than with a figurative or idiomatic meaning: see as,‎ well."
as yet,(idiomatic) Up to the present; thus far.
as you know,(idiomatic) as it is already known.
ask after,(idiomatic) To enquire about the health or progress (of someone).
ask around,"(idiomatic, intransitive) To enquire of different people about something."
ask for,To request. To increase the likelihood of something by persisting in some action; to invite.
ask for it,"(idiomatic, informal) To provoke an unwanted action. Used other than with a figurative or idiomatic meaning: see ask for,‎ it."
ask out,"(idiomatic, transitive) To invite somebody, especially on a date."
ask the question,"Used other than with a figurative or idiomatic meaning: to ask a given question. (cricket, informal) To make an appeal to the umpire against the batsman."
asleep at the switch,"(idiomatic) Neglectful of an important task, responsibility, or opportunity."
assault and battery,"(law, idiomatic) The combination of two violent crimes: assault (the threat of violence) and battery (physical violence). This legal distinction exists only in jurisdictions that distinguish assault as threatened violence rather than actual violence."
assume the mantle,"(figuratively, with ""of"") To take on a specific role or position, along with any associated responsibilities."
assume the position,"Often used other than with a figurative or idiomatic meaning: to assume a given position. (idiomatic, US, law enforcement) To turn away, with your hands in a visible and unmovable position so that you can be searched (idiomatic, Britain, punishment) Often used as an order to bend over, for example, to receive the traditional corporal punishment in a case of misbehaviour."
at home,"(historical) A type of reception or party whereby the host says they will be ‘at home’ during specific hours, when guests can come and go as they like."
at once,(obsolete) In one group; together. (idiomatic) At the same time; simultaneously. (idiomatic) Immediately; now; right away.
at the feet of,"(idiomatic) As a disciple, student, subordinate or worshiper of. As being the work or responsibility of; attributed to. Used other than with a figurative or idiomatic meaning: see at,‎ feet,‎ of. Situated near the feet of."
at the very least,(idiomatic) at least; as an absolute minimum
average up,"(idiomatic, transitive) to calculate an average or rough figure."
away game,"(idiomatic, sports) An athletic contest played away from the teams home field."
baby blues,(informal) Blue eyes.
baby up,"(idiomatic, transitive) to treat as a baby."
baby-killer,"Used other than with a figurative or idiomatic meaning: see baby,‎ killer."
back and forth,From one place to another and back again.
back at you,"(idiomatic, US) Used to return a greeting or insult."
back burner,A section of a stove used to keep some pots warm while one focuses on others. (idiomatic) A state of low urgency; a state of low current importance.
back down,(idiomatic) To take a less aggressive position in a conflict than one previously has or has planned to.
back in,To reverse a vehicle into a space. (idiomatic) A betting term from French hazard
back into,"Used other than with a figurative or idiomatic meaning: see back,‎ into. (sports, idiomatic) To advance to the post-season as a result of another team's loss, especially where one's own team has also lost."
back of one's hand,"A slap. (idiomatic, figuratively, by extension) A display of disrespect or scorn."
back off,"(literally) To move backwards away from something. (idiomatic) To become less aggressive, particularly when one had appeared committed to act. (idiomatic) To lower the setting of."
back office,"(idiomatic) The IT and infrastructure support services for a company, separate from the public face of the business."
back out,"(transitive) To reverse (a vehicle) from a confined space. (intransitive) To withdraw from something one has agreed to do. (transitive) To dare (someone) to not withdraw from a challenge. (gambling) To bet on someone losing. (computing, transitive) To undo (a change). (computing, intransitive) To exit a mode or function."
back to the drawing board,(idiomatic) Back to the beginning following an unsuccessful attempt.
back to the wall,(idiomatic) (Can we clean up(+) this sense?) A very difficult situation with no beneficial options available for action.
back up,"(idiomatic, intransitive) To move backwards, especially for a vehicle to do so. (idiomatic, transitive) To move a vehicle backwards. (idiomatic, intransitive) To undo one's actions. (idiomatic, intransitive) To reconsider one's thoughts. (idiomatic, computing, transitive) To copy (data) so that it can be restored if the main copy is lost. (idiomatic, transitive) To provide support or the promise of support to. (idiomatic, intransitive, cricket) For the non-striker to take a few steps down the pitch, in preparation to taking a run, just as the bowler bowls the ball. (idiomatic, intransitive, cricket) For a fielder to position himself behind the wicket (relative to a team-mate who is throwing the ball at the wicket) so as to stop the ball, and prevent overthrows. (idiomatic, intransitive, of a blockage) To halt the flow or movement of something. (idiomatic, intransitive, informal) To fill up because of a backlog."
back wall,"Used other than with a figurative or idiomatic meaning: see back,‎ wall. (squash (sport), racquetball) The wall at the back of a racquetball or squash court, directly opposite the front wall."
back-burner,(idiomatic) Having low urgency; not currently important.
back-of-the-envelope,"(idiomatic) Approximate, rough, simplified, especially of a calculation, estimation or other reasoning."
back-to-back,sequential or consecutive. With one's back facing that of somebody else. (of a house) Having a party wall at the rear
back-to-back-to-back,"(idiomatic) sequential or consecutive, in the case of exactly three events."
backhanded compliment,(idiomatic) An insult disguised as a compliment; a compliment which can be interpreted as an insult.
bad actor,"(idiomatic, law) Individual or entity with the prior criminal conviction, or who has been sanctioned by the court or regulator. (idiomatic) Ill-intentioned, mean, ill-tempered person. Used other than with a figurative or idiomatic meaning: see bad,‎ actor."
bad apple,"(idiomatic) A person who is not wholesome, honest, or trustworthy, especially one who has an adverse influence on others."
bad blood,"(idiomatic) Feelings of hostility or ill will. (idiomatic) A serious feud or long-standing grudge. (idiomatic, dated) An inherited immoral or disturbed nature."
bad boy,"Used other than with a figurative or idiomatic meaning: see bad,‎ boy. A man whose rebellious nature makes him dangerous and/or attractive. (slang) A male criminal. (figuratively, slang) An undesirable or difficult task. (slang) A powerful or impressive product or item."
bad company,(idiomatic) The wrong crowd.
bad form,"Behaviour which is contrary to social expectations, which is inappropriate or rude."
bad hair day,"(literally) A day when one's hair seems unmanageable. [from 20th c.] (idiomatic, by extension) A day when things seem to be unmanageable or go wrong."
bad joke,"(idiomatic) A situation that is badly planned, or illogical."
bad name,"Lack of reverence or esteem. Poor reputation. Used other than with a figurative or idiomatic meaning: see bad,‎ name."
bad news,"News of unpleasant, unfortunate or sad events. (idiomatic) An irritating, troublesome or harmful person, situation or thing."
bad old days,"(idiomatic) the past, seen as a time when things were worse."
bad taste in one's mouth,"(idiomatic) A feeling something is morally despicable as to cause nausea. (idiomatic) A feeling of guilt, responsibility, or embarrassment as to cause nausea. (idiomatic) A feeling of disappointment and frustration."
bad word,(idiomatic) A vulgar word.
bag of tricks,"(idiomatic) A set of skills, techniques, items of information, or other resources used to help achieve professional or personal goals. (idiomatic, dated, often preceded by whole) A collection of items, especially as constituting a very complete set of such items."
bail out,"(transitive) To secure the release of an arrested person by providing bail money. (transitive, nautical) To remove water from a boat by scooping it out. (transitive, idiomatic) To rescue, especially financially. (intransitive, with of) To exit an aircraft while in flight. (intransitive, idiomatic, slang, with of) To leave (or not attend at all) a place or a situation, especially quickly or when the situation has become undesirable. (intransitive, idiomatic, colloquial, with of) To sell all or part of one's holdings in stocks, real estate, a business, etc. (intransitive, with of) To make an unscheduled voluntary termination of an underwater dive, usually implying the use of an alternative breathing gas supply."
baker's dozen,(idiomatic) Thirteen; a group of thirteen. [from 1590s] (Cockney rhyming slang) A cousin.
balance out,"(idiomatic, of contrasting elements) To counteract one another so as to be balanced."
balance the books,"(idiomatic, accounting) To add up all the debits and credits. To put or keep any closed or conservative system or its analysis in balance."
balancing act,(entertainment) A performance that involves balancing things precariously and suspensefully. (idiomatic) An effort to manage many conflicting or competing items or interests.
ball of fire,"(idiomatic) A person who is especially hard-working, high-achieving, ambitious, or active."
ballpark figure,"(chiefly US, idiomatic) An educated guess or estimation within acceptable bounds."
balls-out,"(US, idiomatic, slang) Extreme, extremely great"
balls-up,"(idiomatic, Britain, vulgar) Something which becomes muddled or botched in some way."
banana republic,"(politics, idiomatic, derogatory) A small country, especially one in Central America or the West Indies, that is dependent on a single export commodity (traditionally bananas) and that has a corrupt, dictatorial government."
band together,"(idiomatic, intransitive) to unite, to come together"
bang for the buck,(idiomatic) Efficiency; cost-effectiveness; value.
bang on,Precisely accurate; exactly appropriate or fitting; spot on.
bang out,"(idiomatic) To do something quickly, in a slipshod, or unprofessional manner."
bang up,"(idiomatic, often hyphenated) Good, superior, excellent."
banged up,simple past tense and past participle of bang up
bank up,To press a mound of something against something else. To make a mound to guard against something.
baptism by fire,A rite of passage through the survival or success of a crisis or ordeal.
bar none,(idiomatic) Without exception; excluding nothing else of the same kind.
bar off,"(idiomatic, transitive) to barricade with bars."
bar up,"(idiomatic, transitive, intransitive) to fit (e.g. a window or door) with bars"
bare metal,"(programming) A runtime environment where little to no abstraction is available: usually employing a low-level programming language, without access to any operating system facilities, and interfacing hardware directly. (computing) Physical hardware, as opposed to virtualised. Used other than with a figurative or idiomatic meaning: see bare,‎ metal."
bare one's soul,"(idiomatic) To reveal one's innermost feelings and thoughts, especially concerning one's doubts, regrets, or flaws; to tell one's personal secrets to others."
bargain basement,"An area within a retail store, especially an area located below ground level, where the least costly merchandise can be found. (attributively, often hyphenated) Inexpensive. (idiomatic, attributively, often hyphenated) Of poor quality; of little or no value; low-end, shoddy."
barge in,(idiomatic) To intrude; to enter or interrupt suddenly and without invitation.
barn doors,"Used other than with a figurative or idiomatic meaning: see barn,‎ doors. (filmmaking) Four hinged metal slats that come (or are attachable) on the front of cinema lights, used for shaping light and fastening light gels."
barrel of laughs,"(idiomatic) That which is enjoyable or entertaining. (idiomatic) That which is immature, embarrassing, or disgraceful. A toy in the shape of a barrel that emits sounds of laughter."
basket case,"(slang, potentially  offensive) One made powerless or ineffective, as by nerves, panic, stress or exhaustion. An institution or country in a bad condition or difficult situation (economically, financially or otherwise)."
bat an eyelid,(idiomatic) To react in any slight way; to respond.
batten down the hatches,(idiomatic) To prepare for trouble.
