article,content,candidate,definition,score,type
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",keep one's mouth shut,"(idiomatic) To keep a secret; to refrain from speaking indiscreetly or carelessly; broadly, to refrain from speaking altogether.",29.959396,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",what do you say,"(idiomatic) Used to ask someone if they are willing to do something. (idiomatic, childish) Used to remind a child to say a polite expression.",24.595326999999997,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",what do I know,(rhetorical question) Implies that a statement is based on a guess or assumption rather than on knowledge or evidence.,23.035273,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",if I do say so myself,"(idiomatic) Appended to praise of oneself or one's own doings, as a form of modesty.",20.558595999999998,idiom
Why Nintendo’s new console tastes awful,"Nintendo does not want anyone to put its new gaming system’s tiny cartridges in their mouths and reportedly taken measures to prevent that from happening. Jeff Gerstmann, the   of the video game blog Giant Bomb,   that he put one of the cartridges in his mouth and regretted the move instantly. “I put that Switch cart in my mouth and I’m not sure what those things are made of but I can still taste it. Do not try this at home,” Gerstmann tweeted last week ahead of Friday’s worldwide Nintendo Switch release. But why do the cartridges taste so awful? Apparently, it’s coated with a material that is purposely meant to keep gamers  —   bloggers and kids alike  —   from putting the object in their mouths. “A bittering agent (Denatonium Benzoate) has also been applied to the game card,” a Nintendo spokesperson told the website Polygon. The spokesperson added that Nintendo recommends keeping the cartridges from children. The agent that the company uses is the “  chemical compound known to humanity,”  . It’s commonly used to keep people from ingesting things they are not supposed to. This article   on  .",put on one's dancing shoes,(idiomatic) To prepare for celebration or rejoicing; to put oneself in a positive frame of mind.,19.451689000000002,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",what you see is what you get,"The image corresponds to the reality. (idiomatic, computing) The screen image resembles the printed output.",17.713026,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",what do you say,"(idiomatic) Used to ask someone if they are willing to do something. (idiomatic, childish) Used to remind a child to say a polite expression.",14.303341,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",go out of one's way,"(idiomatic) To make an extra effort, so as to help or hinder.",14.028393,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",go over someone's head,(idiomatic) To take up an issue with another person's boss or other superior rather than beginning or continuing to deal with the original person. (idiomatic) To escape someone's comprehension.,13.535748000000002,idiom
Murder plot exposed after man sent ‘kill my wife’ texts to wrong contact,"        Jeff Lytle, 42, was arrested last week and charged with two counts of criminal solicitation for   murder. The arrest came after Lytle tried to reach out to a hitman named “Shayne” about killing his family in order to cash in on a $1. 5 million life insurance policy,  . The texts include his wife’s work schedule and to make the murder look like a “robbery gone wrong or make it a accident. ” “You remember you said that you would help me kill my wife,” Lytle wrote. “I’m going to take you up on that offer. ” However, Lytle mixed up the contact for his hitman with his former boss. The former employer called police, who arrested Lytle at his home on Wednesday in Monroe, Washington. According to police, Lytle claimed that he wrote the texts to “vent” and was not planning on having his family killed. He said that he never intended to send anyone the messages, suggesting that his    daughter may have sent them. Lytle remains in custody on $1 million bail.",go along to get along,(idiomatic) To conform in order to have acceptance and security.,13.434997000000001,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",have the time of one's life,"(idiomatic) To enjoy oneself immensely, or more than ever before.",18.638319,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",when push comes to shove,"(figuratively, idiomatic) When the pressure is on; when the situation is critical or urgent; when the time has come for action, even if it is difficult.",12.551538,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",have one's cake and eat it too,(idiomatic) To seek to have two things which are mutually incompatible (such as eating a piece of cake and yet still possessing that piece for future use).,11.961286999999999,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",get one's feet wet,(idiomatic) To begin gaining experience; to tentatively try something new.,10.880192,idiom
Man who claims to be 146 years old wants to die,"He’s having a senior moment  —   and then some! Mbah Gotho of Indonesia says he’s turned another page on Father Time, celebrating his 146th birthday on New Year’s Eve. Gotho, who claims he was born in 1870, was all smiles as he blew out his candles surrounded by family and friends in his hometown village of Central Java, Indonesia, according to Barcoft Media. Party guests included Gotho’s grandson, his wife and their two children, Erika and Anisa Kurniwati, who sang to Gotho and served him a birthday cake with “146” numeral candles. But Gotho has been prepping for his death since 1992,  . “What I want is to die,” he told a regional news network last year, the site reported. Gotho’s identity card, which states his real name as Saparman Sodimejo, confirms his date of birth, but it’s unclear if the documents ever received independent verification. The oldest confirmed person ever was French centenarian Jeanne Calment, who was 122 when she met her maker.",get one's money's worth,"(business) In a transaction, to receive a good or service which is considered to be of a value equal to or greater than the amount of money expended. (idiomatic, by extension) To derive satisfaction from an experience or occurrence; to have one's expectations or hopes fulfilled.",8.236353,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",take matters into one's own hands,"(idiomatic) To deal with a problem alone, because others responsible have failed to deal with it.",50.313915,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",what do I know,(rhetorical question) Implies that a statement is based on a guess or assumption rather than on knowledge or evidence.,32.165946999999996,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",get one's money's worth,"(business) In a transaction, to receive a good or service which is considered to be of a value equal to or greater than the amount of money expended. (idiomatic, by extension) To derive satisfaction from an experience or occurrence; to have one's expectations or hopes fulfilled.",31.731457000000002,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",if I do say so myself,"(idiomatic) Appended to praise of oneself or one's own doings, as a form of modesty.",28.136597,idiom
Trump: I Have More Foreign Policy Experience Than ’Virtually Anybody’,"Republican presidential candidate Donald Trump argued Monday that he had more foreign policy experience than ”virtually anybody” seeking the presidency in response to a couple jokes President Obama made at Trump’s expense. Obama took a few jabs at the GOP frontrunner at the White House Correspondents’ Dinner this weekend, joking that Trump would be good at foreign policy because he had met with ”Miss Sweden” and ”Miss Argentina.” Trump himself opted to not attend the dinner, but his children did go. ”Right now, we have hundreds of deals being negotiated all over the world by my company, and I deal with presidents, and I deal with prime ministers. I deal with everybody,” Trump said on CNN. ”I probably have more experience than virtually anybody looking at this office. And I make money. I’ve made a lot of money doing it.” Trump said Sunday that Obama’s jokes were ”fine” and that the President ”did a nice job” at his last correspondents’ dinner.",easier said than done,"(idiomatic) Easy to propose, but difficult to accomplish.",24.547354000000002,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",get one's money's worth,"(business) In a transaction, to receive a good or service which is considered to be of a value equal to or greater than the amount of money expended. (idiomatic, by extension) To derive satisfaction from an experience or occurrence; to have one's expectations or hopes fulfilled.",14.363069,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",make hay while the sun shines,"(literally, agriculture) To make hay during favourable (dry) weather. (idiomatic) To act while an opportunity exists; to take action while a situation is favorable.",12.210127,idiom
Trump releases bromance letter from Putin,"     From Red Square with love!   Donald Trump released a bromance letter he received from Russian Prime Minister Vladmir Putin, who pledged to improve relations between the two superpowers. “Please accept my warmest Christmas and New Year greetings,” the Russian strongman, who was accused of aiding Trump in the presidential election by hacking Hillary Clinton and DNC private emails, said. “I hope that after you assume the position of the President of the United States of America we will be able  —   by acting in a constructive and pragmatic manner  —   to take real steps to restore the framework of bilateral cooperation in different areas as well as bring our level of collaboration on the international scene to a qualitatively new level. ” During a press conference in Moscow, Putin also called Hillary Clinton and Democrats sore losers, and insisted   and praised Trump for understanding “the mood of the people. ”",get one's hands dirty,"(idiomatic) To get involved with the unpleasant parts, or the lowest levels, of a task.",11.647923,idiom
